[Strings]
Num Paddr      Vaddr      Len Size Section  Type  String
000 0x00003260 0x140004460  50 102 (.rdata) utf16le SYSTEM\CurrentControlSet\Services\Tcpip\Parameters
084 0x00003eec 0x1400050ec  17  18 (.rdata) ascii GetCurrentProcess
085 0x00003f00 0x140005100  16  17 (.rdata) ascii TerminateProcess
086 0x00003f14 0x140005114  16  17 (.rdata) ascii GetModuleHandleW
087 0x00003f28 0x140005128  23  24 (.rdata) ascii QueryPerformanceCounter
088 0x00003f42 0x140005142  19  20 (.rdata) ascii GetCurrentProcessId
089 0x00003f58 0x140005158  18  19 (.rdata) ascii GetCurrentThreadId
090 0x00003f6e 0x14000516e  23  24 (.rdata) ascii GetSystemTimeAsFileTime
091 0x00003f88 0x140005188  12  13 (.rdata) ascii GetTickCount
092 0x00003f96 0x140005196  34  35 (.rdata) ascii api-ms-win-core-console-l1-1-0.dll
093 0x00003fba 0x1400051ba  35  36 (.rdata) ascii api-ms-win-core-registry-l1-1-0.dll
094 0x00003fde 0x1400051de  12  13 (.rdata) ascii IPHLPAPI.DLL
095 0x00003fec 0x1400051ec  39  40 (.rdata) ascii api-ms-win-core-localization-l1-2-0.dll
096 0x00004014 0x140005214  10  11 (.rdata) ascii WS2_32.dll
097 0x00004020 0x140005220  31  32 (.rdata) ascii api-ms-win-core-heap-l2-1-0.dll
098 0x00004040 0x140005240  32  33 (.rdata) ascii api-ms-win-core-synch-l1-2-0.dll
099 0x00004062 0x140005262  40  41 (.rdata) ascii api-ms-win-core-errorhandling-l1-1-0.dll
100 0x0000408c 0x14000528c   9  10 (.rdata) ascii ntdll.dll
101 0x00004096 0x140005296  31  32 (.rdata) ascii api-ms-win-core-heap-l1-1-0.dll
102 0x000040b6 0x1400052b6  37  38 (.rdata) ascii api-ms-win-core-rtlsupport-l1-1-0.dll
103 0x000040dc 0x1400052dc  41  42 (.rdata) ascii api-ms-win-core-processthreads-l1-1-0.dll
104 0x00004106 0x140005306  40  41 (.rdata) ascii api-ms-win-core-libraryloader-l1-2-0.dll
105 0x00004130 0x140005330  34  35 (.rdata) ascii api-ms-win-core-profile-l1-1-0.dll
106 0x00004154 0x140005354  34  35 (.rdata) ascii api-ms-win-core-sysinfo-l1-1-0.dll
107 0x0000417a 0x14000537a  10  11 (.rdata) ascii __iob_func
108 0x00004188 0x140005388  14  15 (.rdata) ascii _get_osfhandle
109 0x0000419a 0x14000539a   8   9 (.rdata) ascii _wcsicmp
110 0x000041a6 0x1400053a6   6   7 (.rdata) ascii fflush
111 0x000041b0 0x1400053b0   8   9 (.rdata) ascii _setmode
112 0x000041bc 0x1400053bc   6   7 (.rdata) ascii _write
113 0x000041c6 0x1400053c6   7   8 (.rdata) ascii _fileno
114 0x000041d0 0x1400053d0   6   7 (.rdata) ascii wcschr
115 0x000041da 0x1400053da   7   8 (.rdata) ascii fgetpos
116 0x000041e4 0x1400053e4   8   9 (.rdata) ascii fwprintf
117 0x000041f0 0x1400053f0  23  24 (.rdata) ascii GetEnvironmentVariableW
118 0x0000420a 0x14000540a  14  15 (.rdata) ascii GetConsoleMode
119 0x0000421c 0x14000541c  14  15 (.rdata) ascii FormatMessageW
120 0x0000422e 0x14000542e  19  20 (.rdata) ascii WideCharToMultiByte
121 0x00004244 0x140005444  11  12 (.rdata) ascii GetFileType
122 0x00004252 0x140005452  17  18 (.rdata) ascii GetIpForwardTable
123 0x00004264 0x140005464  45  46 (.rdata) ascii api-ms-win-core-processenvironment-l1-1-0.dll
124 0x00004292 0x140005492  33  34 (.rdata) ascii api-ms-win-core-string-l1-1-0.dll
125 0x000042b4 0x1400054b4  31  32 (.rdata) ascii api-ms-win-core-file-l1-1-0.dll
126 0x000042d6 0x1400054d6   6   7 (.rdata) ascii memcpy
127 0x000042e0 0x1400054e0   6   7 (.rdata) ascii memset
000 0x000048ea 0x1400090ea   5  12 (.rsrc) utf16le MUI㼼浸 blocks=Basic Latin,CJK Unified Ideographs Extension A,CJK Unified Ideographs
001 0x000048f6 0x1400090f6 717 718 (.rsrc) ascii version="1.0" encoding="UTF-8" standalone="yes"?>\r\n<!-- Copyright (c) Microsoft Corporation -->\r\n<assembly xmlns="urn:schemas-microsoft-com:asm.v1"\r\n manifestVersion="1.0"> \r\n\r\n  <assemblyIdentity version="5.1.0.0"\r\n     processorArchitecture="amd64"\r\n     name="Microsoft.Windows.Net.ping"\r\n     type="win32"/> \r\n\r\n  <description>ping - ping command line tool.</description> \r\n\r\n  <!-- Identify the application security requirements. -->\r\n\r\n  <trustInfo xmlns="urn:schemas-microsoft-com:asm.v3">\r\n    <security>\r\n      <requestedPrivileges>\r\n        <requestedExecutionLevel\r\n          level="asInvoker"\r\n          uiAccess="false"/>\r\n        </requestedPrivileges>\r\n       </security>\r\n  </trustInfo>\r\n\r\n</assembly>
002 0x00004bd2 0x1400093d2  13  28 (.rsrc) utf16le _VERSION_INFO
003 0x00004c2a 0x14000942a  14  30 (.rsrc) utf16le StringFileInfo
004 0x00004c4e 0x14000944e   8  18 (.rsrc) utf16le 040904B0
005 0x00004c66 0x140009466  11  24 (.rsrc) utf16le CompanyName
006 0x00004c80 0x140009480  21  44 (.rsrc) utf16le Microsoft Corporation
007 0x00004cb2 0x1400094b2  15  32 (.rsrc) utf16le FileDescription
008 0x00004cd4 0x1400094d4  19  40 (.rsrc) utf16le TCP/IP Ping Command
009 0x00004d02 0x140009502  11  24 (.rsrc) utf16le FileVersion
010 0x00004d1c 0x14000951c  35  72 (.rsrc) utf16le 10.0.17134.1 (WinBuild.160101.0800)
011 0x00004d6a 0x14000956a  12  26 (.rsrc) utf16le InternalName
012 0x00004d84 0x140009584   8  18 (.rsrc) utf16le ping.exe
013 0x00004d9e 0x14000959e  14  30 (.rsrc) utf16le LegalCopyright
014 0x00004dbe 0x1400095be  44  90 (.rsrc) utf16le  Microsoft Corporation. All rights reserved.
015 0x00004e1e 0x14000961e  16  34 (.rsrc) utf16le OriginalFilename
016 0x00004e40 0x140009640   8  18 (.rsrc) utf16le ping.exe
017 0x00004e5a 0x14000965a  11  24 (.rsrc) utf16le ProductName
018 0x00004e74 0x140009674  36  74 (.rsrc) utf16le Microsoft® Windows® Operating System blocks=Basic Latin,Latin-1 Supplement
019 0x00004ec6 0x1400096c6  14  30 (.rsrc) utf16le ProductVersion
020 0x00004ee4 0x1400096e4  12  26 (.rsrc) utf16le 10.0.17134.1
021 0x00004f08 0x140009708  10  22 (.rsrc) utf16le arFileInfo
022 0x00004f26 0x140009726  11  24 (.rsrc) utf16le Translation
023 0x00005010 0x140009810   5  12 (.rsrc) utf16le en-US
